iter	Passed	Remaining
0	0	97
1	1	86
2	2	88
3	3	87
4	4	86
5	5	84
6	6	83
7	7	84
8	8	83
9	9	84
10	10	86
11	11	85
12	12	83
13	13	82
14	14	82
15	15	80
16	16	79
17	17	78
18	18	77
19	19	76
20	19	74
21	20	73
22	21	71
23	22	70
24	22	68
25	23	67
26	24	66
27	25	65
28	26	64
29	26	62
30	27	62
31	28	61
32	29	60
33	31	60
34	32	59
35	32	58
36	33	57
37	34	56
38	35	55
39	36	54
40	36	53
41	37	51
42	38	50
43	38	49
44	39	48
45	40	47
46	41	46
47	42	45
48	43	44
49	44	44
50	45	43
51	46	42
52	47	41
53	48	41
54	48	39
55	49	38
56	50	38
57	51	37
58	52	36
59	52	35
60	53	34
61	54	33
62	55	32
63	55	31
64	57	30
65	57	29
66	58	28
67	59	28
68	60	27
69	61	26
70	61	25
71	62	24
72	63	23
73	64	22
74	65	21
75	65	20
76	66	19
77	67	19
78	68	18
79	68	17
80	69	16
81	70	15
82	71	14
83	72	13
84	72	12
85	73	12
86	74	11
87	75	10
88	76	9
89	77	8
90	77	7
91	78	6
92	79	5
93	80	5
94	80	4
95	81	3
96	82	2
97	83	1
98	84	0
99	85	0
